vintage,y_old,y_new,error,abs_error,perc_error,impact_revisions,impact_releases,variance_so_far,params_used
2020-03-13,2.616787032996802,2.127952421841546,-35.02795242184155,35.02795242184155,1.064679404919196,-0.002511175180769598,-0.4863234359744854,0.05973981926582757,prev
2020-03-20,2.127952421841546,0.6551961479580086,-33.55519614795801,33.55519614795801,1.019914776533678,-0.016197502790038953,-1.4565587710934902,0.5422527605658304,prev
2020-03-27,0.6551961479580086,0.685091743743852,-33.58509174374385,33.58509174374385,1.0208234572566521,0.008372417235776641,0.02152317855006691,0.0002234366618476334,prev
2020-04-03,0.7119456241278346,-1.2552193863680916,-31.64478061363191,31.64478061363191,0.9618474350647997,0.00871121326942359,-1.9758762237653396,0.9674345446298593,curr
2020-04-10,-1.2552193863680916,-1.4202885786129364,-31.479711421387062,31.479711421387062,0.9568301343886645,0.002643892036047202,-0.1677130842808933,0.006811959557091386,curr
2020-04-17,-1.4202885786129364,-6.64129168093889,-26.258708319061107,26.258708319061107,0.7981370309745017,-0.04737879749351315,-5.173624304832446,6.814718348624308,curr
2020-04-24,-6.64129168093889,-6.544755745212752,-26.355244254787245,26.355244254787245,0.8010712539449011,-0.005925200324734092,0.10246113605087101,0.0023297967216302485,curr
2020-05-01,-6.544755745212752,-8.388861841248612,-24.511138158751386,24.511138158751386,0.7450193969225346,-0.010817045651759116,-1.8332890503841037,0.8501818233591553,curr
2020-05-08,-8.388861841248612,-39.20136568716863,6.301365687168634,6.301365687168634,-0.1915308719504144,-0.13458478771020133,-30.677919058209866,237.352598313709,curr
2020-05-15,-39.20136568716863,-32.78975160907953,-0.1102483909204679,0.1102483909204679,0.003351014921594769,0.22595106887233385,6.185663009216812,10.27719877158759,curr
2020-05-22,-32.78975160907953,-31.72873533541574,-1.1712646645842568,1.1712646645842568,0.035600749683412064,0.034464970863908206,1.026551302799887,0.28143888324484806,curr
2020-05-29,-31.72873533541574,-30.726682844299532,-2.1733171557004667,2.1733171557004667,0.06605827220974063,-0.05568287280785711,1.0577353639240687,0.25102729873805046,curr
2020-06-05,-30.726682844299532,-19.123780231881646,-13.776219768118352,13.776219768118352,0.418730084137336,-0.15311537903302508,10.926563990996,33.65683725831345,curr
2020-06-12,-19.123780231881646,-18.531157876540128,-14.36884212345987,14.36884212345987,0.4367429216857104,-0.0014586196052235323,0.5940809749467324,0.08780031401263223,curr
2020-06-19,-18.531157876540128,-16.332288246430345,-16.567711753569654,16.567711753569654,0.5035778648501414,-0.2951429865801174,2.494012616689926,1.2087569125547837,curr
2020-06-26,-16.332288246430345,-15.313059234666694,-17.586940765333303,17.586940765333303,0.534557470070921,0.23833676051299335,0.78089225125065,0.25970694460517696,curr
2020-07-03,-15.313059234666694,-13.01053108803287,-19.88946891196713,19.88946891196713,0.604543128023317,-0.0065223031700121226,2.309050449803838,1.325408966510248,curr
2020-07-10,-13.01053108803287,-13.073460914855731,-19.82653908514427,19.82653908514427,0.6026303673296131,-0.0015345506490920258,-0.06139527617377882,0.0009900407759888285,curr
2020-07-17,-13.073460914855731,-13.426747492437942,-19.47325250756206,19.47325250756206,0.5918921734821294,0.043401568581629135,-0.39668814616383835,0.03120285147493777,curr
