vintage,y_old,y_new,error,abs_error,perc_error,impact_revisions,impact_releases,variance_so_far,params_used
2021-03-12,1.456549689884726,1.45903130303652,5.04096869696348,5.04096869696348,0.7755336456866893,-0.005624664147918512,0.00810627729971139,1.539600958789188e-06,prev
2021-03-19,1.45903130303652,-0.4210369072724609,6.921036907272461,6.921036907272461,1.0647749088111478,0.16279406023885357,-2.0428622705478263,0.8836641188536036,prev
2021-03-26,-0.4210369072724609,0.19671701670146935,6.303282983298531,6.303282983298531,0.9697358435843894,0.18197435547318674,0.43577956850073685,0.0954049776462971,prev
2021-04-02,-0.49614249763663176,0.2594685974361213,6.240531402563879,6.240531402563879,0.9600817542405967,0.013791997104068088,0.7418190979686845,0.14273703174926125,curr
2021-04-09,0.2594685974361213,0.2914721797818023,6.2085278202181975,6.2085278202181975,0.955158126187415,-0.027949609175861978,0.05995319152154505,0.0002560573207391964,curr
2021-04-16,0.2914721797818023,6.463629620881196,0.0363703791188037,0.0363703791188037,0.005595442941354415,-0.3440118538262824,6.516169294925681,9.523881869429655,curr
2021-04-30,6.439864191321824,5.357058720482537,1.142941279517463,1.142941279517463,0.17583711992576354,-0.05101175251194867,-1.0317937183273398,0.2931169219198726,curr
2021-05-07,5.357058720482537,2.62906280015221,3.87093719984779,3.87093719984779,0.595528799976583,0.00806663329213908,-2.736062553622472,1.860490435334727,curr
2021-05-14,2.62906280015221,4.483493154238485,2.0165068457615147,2.0165068457615147,0.3102318224248484,0.4949400711762526,1.3594902829100142,0.859727984539137,curr
2021-05-21,4.483493154238485,4.131689455731696,2.3683105442683043,2.3683105442683043,0.3643554683489699,-0.020650570545931224,-0.3311531279608577,0.03094146057076403,curr
2021-05-28,4.131689455731696,4.454097117272543,2.0459028827274572,2.0459028827274572,0.31475428965037805,-0.1153852883586719,0.4377929498995149,0.025986675055059354,curr
2021-06-04,4.454097117272543,4.472889849655665,2.0271101503443347,2.0271101503443347,0.3118631000529746,0.011103664584627637,0.007689067798500995,8.829169760591539e-05,curr
2021-06-11,4.472889849655665,5.466533423911179,1.0334665760888209,1.0334665760888209,0.1589948578598186,0.050873500420753004,0.9427700738347695,0.24683188816481821,curr
2021-06-18,5.466533423911179,5.0734067121072925,1.4265932878927075,1.4265932878927075,0.2194758904450319,-0.02892535533295071,-0.36420135647093854,0.03863715288343403,curr
2021-06-25,5.0734067121072925,5.461600040580938,1.0383999594190616,1.0383999594190616,0.15975383991062486,0.07534643637409744,0.31284689209954886,0.03767351506786198,curr
2021-07-02,5.461600040580938,5.2093856300195105,1.2906143699804895,1.2906143699804895,0.1985560569200753,-0.027427542526742066,-0.22478686803468637,0.01590302722371213,curr
2021-07-09,5.2093856300195105,5.247786859321412,1.2522131406785881,1.2522131406785881,0.19264817548901356,-0.012227721434179273,0.050628950736083124,0.0003686636029743022,curr
2021-07-16,5.247786859321412,5.197100145994046,1.302899854005954,1.302899854005954,0.20044613138553138,-0.24841139832264858,0.19772468499528023,0.0006422857269826418,curr
2021-07-23,5.197100145994046,5.107232010167255,1.3927679898327447,1.3927679898327447,0.21427199843580688,-0.019724034716994687,-0.07014410110979935,0.0020190704592456285,curr
